id_disciplina;nome_disciplina;id_curso;semestre;carga_horaria
1110201;História Econômica Geral;111;2;75
1110202;Culturas Digitais;111;2;60
1110401;Microeconomia 2;111;4;75
1110402;Macroeconomia 2;111;4;95
1110601;Economia Brasileira;111;6;75
1110602;Orçamento e Finanças Públicas;111;6;75
1110801;Monografia;111;8;100
1110802;Desenvolvimento Econômico;111;8;90
2110201;Desenvolvimento Humano;211;2;60
2110202;Didática Geral;211;2;60
2110401;Eletiva I;211;4;80
2110402;Fundamentos e Orientações Metodológicas - Ed. Infantil - BNCC;211;4;80
2110601;Eletiva II;211;6;80
2110602;Educação do Campo, Indígena e Quilombola;211;6;40
2110801;Tecnologia Educacional - Design;211;8;60
2110802;Estatística Aplicada;211;8;50
3110201;Bases da Engenharia de Software 2;311;2;150
3110202;Projeto Aplicado 2 (site WEB);311;2;120
3110401;Bases da Engenharia de Software 4;311;4;180
3110402;Projeto Aplicado 4 (blockchain);311;4;120
3110601;Bases da Engenharia de Software 6;311;6;150
3110602;Projeto Aplicado 6 (Machine Learning);311;6;120
3110801;Bases da Engenharia de Software 8;311;8;100
3110802;Projeto Aplicado 8 (Sistema em Tempo Real);311;8;160
