id_disciplina;ano;semestre;turma;id_aluno;nota;aprovado
3110201;2023;2;1;2023311001;9.0;1
3110202;2023;2;1;2023311001;7.4;1
3110401;2024;2;1;2023311001;7.5;1
3110402;2024;2;1;2023311001;6.6;1
3110601;2025;2;1;2023311001;4.1;0
3110602;2025;2;1;2023311001;8.7;1
3110201;2023;2;1;2023311002;6.1;1
3110202;2023;2;1;2023311002;6.3;1
3110401;2024;2;1;2023311002;9.0;1
3110402;2024;2;1;2023311002;8.6;1
3110601;2025;2;1;2023311002;0.3;0
3110602;2025;2;1;2023311002;7.7;1
3110201;2024;2;1;2024311002;4.3;0
3110202;2024;2;1;2024311002;7.2;1
3110401;2025;2;1;2024311002;7.7;1
3110402;2025;2;1;2024311002;0.4;0
3110201;2025;2;1;2025311001;6.1;1
3110202;2025;2;1;2025311001;6.8;1
3110201;2025;2;1;2025311002;1.9;0
3110202;2025;2;1;2025311002;6.1;1
1110201;2023;2;1;2023111001;9.8;1
1110202;2023;2;1;2023111001;8.8;1
1110201;2024;2;1;2024111001;7.9;1
1110202;2024;2;1;2024111001;8.5;1
1110401;2025;2;1;2024111001;6.1;1
1110402;2025;2;1;2024111001;6.5;1
1110201;2024;2;1;2024111002;3.4;0
1110202;2024;2;1;2024111002;6.4;1
1110401;2025;2;1;2024111002;6.1;1
1110402;2025;2;1;2024111002;7.7;1
1110201;2025;2;1;2025111001;7.1;1
1110202;2025;2;1;2025111001;6.1;1
1110201;2025;2;1;2025111002;6.1;1
1110202;2025;2;1;2025111002;9.9;1
2110201;2023;2;1;2023211001;8.4;1
2110202;2023;2;1;2023211001;8.2;1
2110401;2024;2;1;2023211001;8.5;1
2110402;2024;2;1;2023211001;8.8;1
2110601;2025;2;1;2023211001;6.1;1
2110602;2025;2;1;2023211001;6.2;1
2110201;2023;2;1;2023211002;6.3;1
2110202;2023;2;1;2023211002;6.8;1
2110401;2024;2;1;2023211002;6.1;1
2110402;2024;2;1;2023211002;10.0;1
2110601;2025;2;1;2023211002;1.3;0
2110602;2025;2;1;2023211002;6.1;1
2110201;2024;2;1;2024211001;7.0;1
2110202;2024;2;1;2024211001;9.7;1
2110401;2025;2;1;2024211001;9.2;1
2110402;2025;2;1;2024211001;6.1;1
2110201;2024;2;1;2024211002;7.1;1
2110202;2024;2;1;2024211002;8.7;1
2110401;2025;2;1;2024211002;7.6;1
2110402;2025;2;1;2024211002;7.6;1
2110201;2025;2;1;2025211001;6.1;1
2110202;2025;2;1;2025211001;7.0;1
2110201;2025;2;1;2025211002;8.4;1
2110202;2025;2;1;2025211002;7.4;1
