id_disciplina;ano;semestre;turma;id_aluno;nota;aprovado
1110101;2023;1;2;2023111001;7.2;1
1110102;2023;1;2;2023111001;7.4;1
1110103;2023;1;2;2023111001;6.1;1
1110104;2023;1;2;2023111001;7.3;1
1110105;2023;1;2;2023111001;6.1;1
1110101;2023;1;1;2023111002;6.1;1
1110102;2023;1;1;2023111002;4.1;0
1110103;2023;1;1;2023111002;1.6;0
1110104;2023;1;1;2023111002;6.1;1
1110105;2023;1;1;2023111002;9.5;1
1110201;2023;2;1;2023111002;9.8;1
1110204;2023;2;1;2023111002;8.3;1
1110205;2023;2;1;2023111002;8.8;1
1110101;2023;1;2;2023111003;6.1;1
1110102;2023;1;2;2023111003;3.3;0
1110103;2023;1;2;2023111003;7.2;1
1110104;2023;1;2;2023111003;8.1;1
1110105;2023;1;2;2023111003;6.1;1
1110201;2023;2;2;2023111003;8.6;1
1110203;2023;2;2;2023111003;6.6;1
1110204;2023;2;2;2023111003;7.2;1
1110205;2023;2;2;2023111003;9.7;1
1110301;2024;1;2;2023111003;9.9;1
1110303;2024;1;2;2023111003;9.2;1
1110304;2024;1;2;2023111003;8.9;1
1110305;2024;1;2;2023111003;6.1;1
1110401;2024;2;2;2023111003;8.4;1
1110403;2024;2;2;2023111003;8.7;1
1110404;2024;2;2;2023111003;7.5;1
1110405;2024;2;2;2023111003;7.4;1
1110501;2025;1;2;2023111003;0.8;0
1110503;2025;1;2;2023111003;6.1;1
1110504;2025;1;2;2023111003;7.4;1
1110505;2025;1;2;2023111003;7.5;1
1110603;2025;2;2;2023111003;6.7;1
1110604;2025;2;2;2023111003;7.3;1
1110605;2025;2;2;2023111003;6.8;1
1110703;2026;1;2;2023111003;8.8;1
1110704;2026;1;2;2023111003;1.5;0
1110705;2026;1;2;2023111003;9.8;1
1110803;2026;2;2;2023111003;9.1;1
1110101;2023;1;1;2023111004;9.8;1
1110102;2023;1;1;2023111004;6.1;1
1110103;2023;1;1;2023111004;9.5;1
1110104;2023;1;1;2023111004;6.1;1
1110105;2023;1;1;2023111004;8.6;1
1110101;2023;1;2;2023111005;7.8;1
1110102;2023;1;2;2023111005;9.0;1
1110103;2023;1;2;2023111005;9.1;1
1110104;2023;1;2;2023111005;10.0;1
1110105;2023;1;2;2023111005;6.1;1
1110101;2023;1;1;2023111006;6.1;1
1110102;2023;1;1;2023111006;6.3;1
1110103;2023;1;1;2023111006;8.0;1
1110104;2023;1;1;2023111006;6.1;1
1110105;2023;1;1;2023111006;9.8;1
1110101;2023;1;1;2023111007;6.1;1
1110102;2023;1;1;2023111007;8.2;1
1110103;2023;1;1;2023111007;9.3;1
1110104;2023;1;1;2023111007;6.1;1
1110105;2023;1;1;2023111007;8.0;1
1110101;2023;1;3;2023111008;8.9;1
1110102;2023;1;3;2023111008;9.4;1
1110103;2023;1;3;2023111008;7.5;1
1110104;2023;1;3;2023111008;9.4;1
1110105;2023;1;3;2023111008;9.2;1
1110201;2023;2;2;2023111008;8.4;1
1110202;2023;2;2;2023111008;8.1;1
1110203;2023;2;2;2023111008;6.5;1
1110204;2023;2;2;2023111008;9.9;1
1110205;2023;2;2;2023111008;6.2;1
1110301;2024;1;2;2023111008;6.3;1
1110302;2024;1;2;2023111008;7.3;1
1110303;2024;1;2;2023111008;9.2;1
1110304;2024;1;2;2023111008;8.4;1
