id_disciplina;ano;semestre;turma;id_prof;horario;sala
1110101;2023;1;1;11400016;2f-7:30-10:40;ESG-SALA-013
1110101;2023;1;2;11400017;3f-7:30-10:40;ESG-SALA-001
1110101;2023;1;3;11400015;3f-7:30-10:40;ESG-SALA-003
1110101;2024;1;1;11400027;3f-7:30-10:40;ESG-SALA-001
1110101;2024;1;2;11400025;3f-7:30-10:40;ESG-SALA-003
1110101;2024;1;3;11400023;2f-7:30-10:40;ESG-SALA-021
1110101;2025;1;1;11400033;3f-7:30-10:40;ESG-SALA-003
1110101;2025;1;2;11400031;3f-7:30-10:40;ESG-SALA-005
1110101;2025;1;3;11400029;3f-7:30-10:40;ESG-SALA-007
1110101;2026;1;1;11400033;2f-7:30-10:40;ESG-SALA-032
1110101;2026;1;2;11400031;2f-7:30-10:40;ESG-SALA-034
1110101;2026;1;3;11400029;3f-7:30-10:40;ESG-SALA-010
1110102;2023;1;1;11400010;2f-7:30-11:40;ESG-SALA-007
1110102;2023;1;2;11400011;2f-7:30-11:40;ESG-SALA-008
1110102;2023;1;3;11400012;2f-7:30-11:40;ESG-SALA-009
1110102;2024;1;1;11400010;2f-7:30-11:40;ESG-SALA-007
1110102;2024;1;2;11400011;2f-7:30-11:40;ESG-SALA-008
1110102;2024;1;3;11400012;2f-7:30-11:40;ESG-SALA-009
1110102;2025;1;1;11400010;2f-7:30-11:40;ESG-SALA-007
1110102;2025;1;2;11400011;2f-7:30-11:40;ESG-SALA-008
1110102;2025;1;3;11400012;2f-7:30-11:40;ESG-SALA-009
1110102;2026;1;1;11400014;2f-7:30-11:40;ESG-SALA-009
1110102;2026;1;2;11400015;2f-7:30-11:40;ESG-SALA-010
1110102;2026;1;3;11400016;2f-7:30-11:40;ESG-SALA-011
1110103;2023;1;1;11400017;2f-7:30-10:40;ESG-SALA-014
1110103;2023;1;2;11400016;3f-7:30-10:40;ESG-SALA-002
1110103;2023;1;3;11400014;3f-7:30-10:40;ESG-SALA-004
1110103;2024;1;1;11400026;3f-7:30-10:40;ESG-SALA-002
1110103;2024;1;2;11400024;3f-7:30-10:40;ESG-SALA-004
1110103;2024;1;3;11400022;2f-7:30-10:40;ESG-SALA-022
1110103;2025;1;1;11400032;3f-7:30-10:40;ESG-SALA-004
1110103;2025;1;2;11400030;3f-7:30-10:40;ESG-SALA-006
1110103;2025;1;3;11400028;3f-7:30-10:40;ESG-SALA-008
1110103;2026;1;1;11400032;2f-7:30-10:40;ESG-SALA-033
1110103;2026;1;2;11400030;2f-7:30-10:40;ESG-SALA-035
1110103;2026;1;3;11400028;3f-7:30-10:40;ESG-SALA-011
1110104;2023;1;1;11400004;2f-7:30-11:50;ESG-SALA-004
1110104;2023;1;2;11400005;2f-7:30-11:50;ESG-SALA-005
1110104;2023;1;3;11400006;2f-7:30-11:50;ESG-SALA-006
1110104;2024;1;1;11400004;2f-7:30-11:50;ESG-SALA-004
1110104;2024;1;2;11400005;2f-7:30-11:50;ESG-SALA-005
1110104;2024;1;3;11400006;2f-7:30-11:50;ESG-SALA-006
1110104;2025;1;1;11400004;2f-7:30-11:50;ESG-SALA-004
1110104;2025;1;2;11400005;2f-7:30-11:50;ESG-SALA-005
1110104;2025;1;3;11400006;2f-7:30-11:50;ESG-SALA-006
1110104;2026;1;1;11400006;2f-7:30-11:50;ESG-SALA-006
1110104;2026;1;2;11400007;2f-7:30-11:50;ESG-SALA-007
1110104;2026;1;3;11400008;2f-7:30-11:50;ESG-SALA-008
1110105;2023;1;1;11400006;2f-11:50-12:40;ESG-SALA-004
1110105;2023;1;2;11400005;2f-11:50-12:40;ESG-SALA-005
1110105;2023;1;3;11400004;2f-11:50-12:40;ESG-SALA-006
1110105;2024;1;1;11400011;2f-11:40-12:30;ESG-SALA-008
1110105;2024;1;2;11400010;2f-11:40-12:30;ESG-SALA-009
1110105;2024;1;3;11400009;3f-7:30-8:20;ESG-SALA-025
1110105;2025;1;1;11400034;2f-10:40-11:30;ESG-SALA-019
1110105;2025;1;2;11400033;2f-10:40-11:30;ESG-SALA-020
1110105;2025;1;3;11400032;2f-10:40-11:30;ESG-SALA-021
1110105;2026;1;1;11400011;3f-7:30-8:20;ESG-SALA-037
1110105;2026;1;2;11400010;3f-9:10-10:00;ESG-SALA-032
1110105;2026;1;3;11400009;3f-9:10-10:00;ESG-SALA-033
1110201;2023;2;1;11400011;2f-7:30-10:40;ESG-SALA-005
1110201;2023;2;2;11400013;2f-7:30-10:40;ESG-SALA-007
1110201;2024;2;1;11400022;2f-7:30-10:40;ESG-SALA-013
1110201;2024;2;2;11400024;2f-7:30-10:40;ESG-SALA-015
1110201;2025;2;1;11400035;2f-7:30-10:40;ESG-SALA-025
1110201;2025;2;2;11400034;3f-7:30-10:40;ESG-SALA-002
1110201;2026;2;1;11400039;3f-7:30-10:40;ESG-SALA-004
1110201;2026;2;2;11400037;3f-7:30-10:40;ESG-SALA-006
